SiteID;Country;Latitude;Longitude;Eastings_X;Northings_Y;Region;Site;Architecture;LabNumber;C14;STD;Delta13C;Delta15N;MarineResources;AquaticResources;DeltaR;DeltaRErr;Curve;Food.source;Material;Context;Source;MainBibliography;Bibliography;Observations
S44;Portugal;41,2014;-8,0079;583183;4561589;Douro/Duero and Mondego basins;Ch„o da Parada 4;Passage grave;ICEN-162;5470;45;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Layer 1, basement tumulus;Boaventura 2009;Cruz 1995;Boaventura 2009/Cruz 1995;n/a
S44;Portugal;41,2014;-8,0079;583183;4561589;Douro/Duero and Mondego basins;Ch„o da Parada 4;Passage grave;ICEN-169;5420;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Layer 2 basement tumulus;Boaventura 2009;Cruz 1995;Boaventura 2009/Cruz 1995;n/a
S44;Portugal;41,2014;-8,0079;583183;4561589;Douro/Duero and Mondego basins;Ch„o da Parada 4;Passage grave;ICEN-891;5240;70;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Surface ancient soil;Boaventura 2009;Cruz 1995;Boaventura 2009/Cruz 1995;n/a
S45;Portugal;41,1475;-8,0831;576940;4555536;Douro/Duero and Mondego basins;Ch„o de Carvahal 1;Passage grave;OxA-1850;6340;80;-26;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Ancient soil;Boaventura 2009;Cruz 1995;Boaventura 2009/Cruz 1995;http://users.ox.ac.uk/~orau/dl_am10.html
S45;Portugal;41,1475;-8,0831;576940;4555536;Douro/Duero and Mondego basins;Ch„o de Carvahal 1;Passage grave;UGRA-355;5860;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Ancient soil;Boaventura 2009;Cruz 1995;Boaventura 2009/Cruz 1995;n/a
S45;Portugal;41,1475;-8,0831;576940;4555536;Douro/Duero and Mondego basins;Ch„o de Carvahal 1;Passage grave;OxA-1848;6150;80;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Ancient soil;Boaventura 2009;Cruz 1995;Boaventura 2009/Cruz 1995;n/a
S45;Portugal;41,1475;-8,0831;576940;4555536;Douro/Duero and Mondego basins;Ch„o de Carvahal 1;Passage grave;OxA-1849;5450;80;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Surface ancient soil;Boaventura 2009;Cruz 1995;Boaventura 2009/Cruz 1995;n/a
S46;Portugal;41,1775;-8,0688;578105;4558879;Douro/Duero and Mondego basins;Ch„o de Santinhos 2;Passage grave;Gif-6785;4930;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Basement monument;Boaventura 2009;Cruz 1995;Boaventura 2009/Cruz 1995;n/a
S46;Portugal;41,1775;-8,0688;578105;4558879;Douro/Duero and Mondego basins;Ch„o de Santinhos 2;Passage grave;Gif-6784;4990;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Basement monument;Boaventura 2009;Cruz 1995;Boaventura 2009/Cruz 1995;n/a
S47;Spain;42,662237;-1,918005;1080513;4747685;Ebro basin;Charracadia;Passage grave;GrA-16933;4010;45;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Alday et al 2016;Beguiristain 2004;Beguiristain 2004/Alday et al 2016;Geographic coordinates approximated
S47;Spain;42,662237;-1,918005;1080513;4747685;Ebro basin;Charracadia;Passage grave;GrA-16929;4504;45;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Alday et al 2016;Beguiristain 2004;Beguiristain 2004/Alday et al 2016;Geographic coordinates approximated
S47;Spain;42,662237;-1,918005;1080513;4747685;Ebro basin;Charracadia;Passage grave;GrA-16931;4530;45;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Alday et al 2016;Beguiristain 2004;Beguiristain 2004/Alday et al 2016;Geographic coordinates approximated
S47;Spain;42,662237;-1,918005;1080513;4747685;Ebro basin;Charracadia;Passage grave;GrA-18891;3960;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Alday et al 2016;Beguiristain 2004;Beguiristain 2004/Alday et al 2016;Geographic coordinates approximated
S48;Spain;42,3064;-2,4477;1040145;4704633;Ebro basin;Collado del Mallo;Megalithic grave;Beta-89990;3840;70;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Entrance chamber;Boaventura 2009;Lopez de Calle, Llarraza 1997;Boaventura 2009/Lopez de Calle, Llarraza 1997;n/a
S48;Spain;42,3064;-2,4477;1040145;4704633;Ebro basin;Collado del Mallo;Megalithic grave;Beta-89989;4000;70;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Entrance chamber;Boaventura 2009;Lopez de Calle, Llarraza 1997;Boaventura 2009/Lopez de Calle, Llarraza 1997;n/a
S48;Spain;42,3064;-2,4477;1040145;4704633;Ebro basin;Collado del Mallo;Megalithic grave;Beta-89986;4700;90;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Layer C corridor;Boaventura 2009;Lopez de Calle, Llarraza 1997;Boaventura 2009/Lopez de Calle, Llarraza 1997;n/a
S48;Spain;42,3064;-2,4477;1040145;4704633;Ebro basin;Collado del Mallo;Megalithic grave;Beta-89988;3860;70;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Chamber;IDEArq.org;n/a;n/a;n/a
S48;Spain;42,3064;-2,4477;1040145;4704633;Ebro basin;Collado del Mallo;Megalithic grave;Beta-89991;3950;80;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Layer B corridor;IDEArq.org;n/a;n/a;n/a
S48;Spain;42,3064;-2,4477;1040145;4704633;Ebro basin;Collado del Mallo;Megalithic grave;Beta-89987;4430;70;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Layer C corridor;IDEArq.org;n/a;n/a;n/a
S49;Spain;42,2692;-2,5239;1034177;4700017;Ebro basin;Collado Palomero 1;Megalithic grave;CSIC-952;4730;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Layer B1;Boaventura 2009;Lopez de Calle, Llarraza 1997;Boaventura 2009/Lopez de Calle, Llarraza 1997;n/a
S49;Spain;42,2692;-2,5239;1034177;4700017;Ebro basin;Collado Palomero 1;Megalithic grave;CSIC-1065;4270;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Layer B2;Boaventura 2009;Lopez de Calle, Llarraza 1997;Boaventura 2009/Lopez de Calle, Llarraza 1997;n/a
S49;Spain;42,2692;-2,5239;1034177;4700017;Ebro basin;Collado Palomero 1;Megalithic grave;CSIC-970;3680;20;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Layer A1;IDEArq.org;n/a;n/a;n/a
S50;Spain;42,679546;-1,147315;1143537;4755223;Ebro basin;Corona de Hualde;Dolmen;N.R.4c;3375;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;n/a;n/a;Alday et al 2016;n/a;Alday et al 2016;n/a
S50;Spain;42,679546;-1,147315;1143537;4755223;Ebro basin;Corona de Hualde;Dolmen;N.R.4b;3435;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;n/a;n/a;Alday et al 2016;n/a;Alday et al 2016;n/a
S50;Spain;42,679546;-1,147315;1143537;4755223;Ebro basin;Corona de Hualde;Dolmen;N.R.4a;3505;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;n/a;n/a;Alday et al 2016;n/a;Alday et al 2016;n/a
S50;Spain;42,679546;-1,147315;1143537;4755223;Ebro basin;Corona de Hualde;Dolmen;N.R.4d;3360;45;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;n/a;n/a;Alday et al 2016;n/a;Alday et al 2016;n/a
S50;Spain;42,679546;-1,147315;1143537;4755223;Ebro basin;Corona de Hualde;Dolmen;GrA-13665;3800;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Alday et al 2016;Beguiristain 2004;Beguiristain 2004/Alday et al 2016;n/a
S51;Spain;36,9844;-4,415;908159;4102978;South;Cortijo de El Tardon;Cist;UGRA-260;3530;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Garcia Sanjuan 2006, 153;Fernandez Ruiz et al 1997;Garcia Sanjuan 2006, 153/Fernandez Ruiz et al 1997;Geographic coordinates approximated
S51;Spain;36,9844;-4,415;908159;4102978;South;Cortijo de El Tardon;Cist;GrN-16066;3745;25;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Garcia Sanjuan et al 2011;n/a;Garcia Sanjuan et al 2011;Geographic coordinates approximated
S52;Spain;41,594166;2,413889;1451978;4668113;East;Costa de Can Martorell;Rock-cut-tomb, artificial cave & hypogeum;UBAR-696;3920;80;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Chamber. Level up;Idearq.org/Aliaga i Rodrigo 2003;n/a;Idearq.org/Aliaga i Rodrigo 2003;Faunal bone according to Clop and MajÛ 2017
S52;Spain;41,594166;2,413889;1451978;4668113;East;Costa de Can Martorell;Rock-cut-tomb, artificial cave & hypogeum;Ly-7838;3795;55;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Access. Inferior level;Idearq.org/Aliaga i Rodrigo 2003;Mercadal 2003, 221-228;Idearq.org/Aliaga i Rodrigo 2003;n/a
S52;Spain;41,594166;2,413889;1451978;4668113;East;Costa de Can Martorell;Rock-cut-tomb, artificial cave & hypogeum;UBAR-695;3875;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Chamber. Level down;Idearq.org/Aliaga i Rodrigo 2003;n/a;Idearq.org/Aliaga i Rodrigo 2003;n/a
S52;Spain;41,594166;2,413889;1451978;4668113;East;Costa de Can Martorell;Rock-cut-tomb, artificial cave & hypogeum;Ly-7837;3810;55;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Chamber. Level down;Idearq.org/Aliaga i Rodrigo 2003;n/a;Idearq.org/Aliaga i Rodrigo 2003;n/a
S53;Spain;41,98127304;1,339813779;1357047;4699723;Ebro basin;Costa dels Garrics de Caballol II;Cist;LYON-10589;4535;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Morell et al 2018;n/a;Morell et al 2018;n/a
S53;Spain;41,98127304;1,339813779;1357047;4699723;Ebro basin;Costa dels Garrics de Caballol II;Cist;CNA-2461.1.1;4720;35;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Morell et al 2018;n/a;Morell et al 2018;n/a
S53;Spain;41,98127304;1,339813779;1357047;4699723;Ebro basin;Costa dels Garrics de Caballol II;Cist;CNA-2462.1.1;4725;35;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Morell et al 2018;n/a;Morell et al 2018;n/a
S54;Spain;42,7227;-7,9069;589496;4730601;North;Coto dos Mouros;Passage grave;CAMS-83116;3830;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Painting with black charcoal;Steelman et al 2005;n/a;Steelman et al 2005;n/a
S54;Spain;42,7227;-7,9069;589496;4730601;North;Coto dos Mouros;Passage grave;CAMS-83631;5540;70;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Painting with black charcoal;Steelman et al 2005;n/a;Steelman et al 2005;n/a
S55;Spain;42,2163;-8,6466;529168;4673852;North;Cotogrande 1;Dolmen;GrN-18420;4940;80;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Basement tumulus (cairn);Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a
S55;Spain;42,2163;-8,6466;529168;4673852;North;Cotogrande 1;Dolmen;GrN-17698;5239;80;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Surface ancient soil in Chamber;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;Abad 1992-1993;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294/Abad 1992/93;n/a
S56;Spain;42,2188;-8,6392;529778;4674132;North;Cotogrande 5;Dolmen;GrN-19565;4065;45;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Debris tumulus;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a
S56;Spain;42,2188;-8,6392;529778;4674132;North;Cotogrande 5;Dolmen;GrN-19566;4390;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Debris tumulus;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;Abad 1992-1993;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294/Abad 1992/93;n/a
S57;Spain;39,967973;3,88045;1601565;4504480;East;Cova de Sant Joan de Missa;Rock-cut-tomb, artificial cave & hypogeum;IRPA-1136;2460;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Chamber;Mico Perez  2005;n/a;Mico Perez  2005;Geographic coordinates approximated
S57;Spain;39,967973;3,88045;1601565;4504480;East;Cova de Sant Joan de Missa;Rock-cut-tomb, artificial cave & hypogeum;IRPA-1135;2580;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Chamber;Mico Perez  2005;n/a;Mico Perez  2005;n/a
S58;Spain;42,57060164;-2,566025068;1028153;4733238;Ebro basin;Dolmen de Alto de la Huesera;Passage grave;Beta-321417;3550;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a
S58;Spain;42,57060164;-2,566025068;1028153;4733238;Ebro basin;Dolmen de Alto de la Huesera;Passage grave;Beta-321418;3850;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a
S58;Spain;42,57060164;-2,566025068;1028153;4733238;Ebro basin;Dolmen de Alto de la Huesera;Passage grave;Beta-321414;4010;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a
S58;Spain;42,57060164;-2,566025068;1028153;4733238;Ebro basin;Dolmen de Alto de la Huesera;Passage grave;Beta-321419;4050;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a
S58;Spain;42,57060164;-2,566025068;1028153;4733238;Ebro basin;Dolmen de Alto de la Huesera;Passage grave;Beta-321415;4080;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a
S58;Spain;42,57060164;-2,566025068;1028153;4733238;Ebro basin;Dolmen de Alto de la Huesera;Passage grave;Beta-321420;4100;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a
S58;Spain;42,57060164;-2,566025068;1028153;4733238;Ebro basin;Dolmen de Alto de la Huesera;Passage grave;Beta-301226;4290;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a
S58;Spain;42,57060164;-2,566025068;1028153;4733238;Ebro basin;Dolmen de Alto de la Huesera;Passage grave;Beta-301224;4300;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a
S58;Spain;42,57060164;-2,566025068;1028153;4733238;Ebro basin;Dolmen de Alto de la Huesera;Passage grave;Beta-301221;4320;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a
S58;Spain;42,57060164;-2,566025068;1028153;4733238;Ebro basin;Dolmen de Alto de la Huesera;Passage grave;Beta-301223;4320;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a
S58;Spain;42,57060164;-2,566025068;1028153;4733238;Ebro basin;Dolmen de Alto de la Huesera;Passage grave;Beta-321416;4320;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a
S58;Spain;42,57060164;-2,566025068;1028153;4733238;Ebro basin;Dolmen de Alto de la Huesera;Passage grave;Beta-301220;4340;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a
S58;Spain;42,57060164;-2,566025068;1028153;4733238;Ebro basin;Dolmen de Alto de la Huesera;Passage grave;Beta-301222;4350;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a
S58;Spain;42,57060164;-2,566025068;1028153;4733238;Ebro basin;Dolmen de Alto de la Huesera;Passage grave;Beta-301225;4390;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a
S58;Spain;42,57060164;-2,566025068;1028153;4733238;Ebro basin;Dolmen de Alto de la Huesera;Passage grave;Beta-301219;4520;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a
S59;Spain;42,5807056;-2,6528964;1020935;4733820;Ebro basin;Dolmen de Layaza;Dolmen;Beta-317864;3770;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a
S59;Spain;42,5807056;-2,6528964;1020935;4733820;Ebro basin;Dolmen de Layaza;Dolmen;Beta-317862;4060;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a
S59;Spain;42,5807056;-2,6528964;1020935;4733820;Ebro basin;Dolmen de Layaza;Dolmen;Beta-317863;4360;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a;Fernandez Eraso, Mujika Alustiza 2013/Fernandez Crespo, Schulting 2017;n/a
S60;Spain;37,0239;-4,5481;896098;4106800;South;Dolmen de Menga;Passage grave;Ua-36216;4760;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Basement tumulus;Aranda Jimenez et al 2013, Tab 2;n/a;Aranda Jimenez et al 2013;n/a
S60;Spain;37,0239;-4,5481;896098;4106800;South;Dolmen de Menga;Passage grave;Ua-24583;4865;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Depression atrium;Garcia Sanjuan 2009, 19;n/a;Garcia Sanjuan 2009, 19;n/a
S60;Spain;37,0239;-4,5481;896098;4106800;South;Dolmen de Menga;Passage grave;Ua-24582;4935;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Depression atrium;Garcia Sanjuan 2009, 19;n/a;Garcia Sanjuan 2009, 19;n/a
S61;Spain;37,0233;-4,5489;896030;4106730;South;Dolmen de Viera;Passage grave;GrN-16067;4550;140;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Ancient soil;Aranda Jimenez et al 2013, Tab 2;n/a;Aranda Jimenez et al 2013;n/a
S61;Spain;37,0233;-4,5489;896030;4106730;South;Dolmen de Viera;Passage grave;Beta-353820;4090;30;-21,2;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Animal bone;Chamber;Aranda Jimenez et al 2013, Tab 2;n/a;Aranda Jimenez et al 2013;n/a
S61;Spain;37,0233;-4,5489;896030;4106730;South;Dolmen de Viera;Passage grave;Beta-353822;3580;30;-21;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Animal bone;Chamber;Aranda Jimenez et al 2013, Tab 2;n/a;Aranda Jimenez et al 2013;n/a
S62;Spain;43,1901;-8,9694;502486;4781925;North;Dombate new;Passage grave;UtC-3202;4430;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Chamber;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a
S62;Spain;43,1901;-8,9694;502486;4781925;North;Dombate new;Passage grave;UtC-3201;3950;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Chamber;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a
S62;Spain;43,1901;-8,9694;502486;4781925;North;Dombate new;Passage grave;CSIC-892;4230;70;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Entrance area;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a
S62;Spain;43,1901;-8,9694;502486;4781925;North;Dombate new;Passage grave;UtC-3203;4950;70;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Floor of the chamber;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a
S62;Spain;43,1901;-8,9694;502486;4781925;North;Dombate new;Passage grave;CSIC-891;4910;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Surface ancient soil;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a
S62;Spain;43,1901;-8,9694;502486;4781925;North;Dombate new;Passage grave;CSIC-939;4410;25;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Surface tumulus;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a
S62;Spain;43,1901;-8,9694;502486;4781925;North;Dombate new;Passage grave;CSIC-941;4430;25;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Surface tumulus;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a
S62;Spain;43,1901;-8,9694;502486;4781925;North;Dombate new;Passage grave;CSIC-942;4480;25;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Surface tumulus;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a
S62;Spain;43,1901;-8,9694;502486;4781925;North;Dombate new;Passage grave;CSIC-962;4020;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Surface tumulus;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a
S62;Spain;43,1901;-8,9694;502486;4781925;North;Dombate new;Passage grave;CSIC-948;4200;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Surface tumulus;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a
S62;Spain;43,1901;-8,9694;502486;4781925;North;Dombate new;Passage grave;CSIC-964;4470;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Surface tumulus;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a
S62;Spain;43,1901;-8,9694;502486;4781925;North;Dombate new;Passage grave;CSIC-963;4380;35;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Surface tumulus;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a
S62;Spain;43,1901;-8,9694;502486;4781925;North;Dombate new;Passage grave;CSIC-1066;4090;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Surface tumulus;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a
S62;Spain;43,1901;-8,9694;502486;4781925;North;Dombate new;Passage grave;CSIC-893;4450;70;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Surface tumulus;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;n/a
