SiteID;Country;Latitude;Longitude;Eastings_X;Northings_Y;Region;Site;Architecture;LabNumber;C14;STD;Delta13C;Delta15N;MarineResources;AquaticResources;DeltaR;DeltaRErr;Curve;Food.source;Material;Context;Source;MainBibliography;Bibliography;Observations
S31;Spain;41,540088;2,133572;1429351;4658998;East;Can Roqueta;Rock-cut-tomb, artificial cave & hypogeum;UBAR-697;3465;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Hypogeum CRII-459A-3;http://www.telearchaeology.com/c14/db.aspx, 14.01.2011;Carl˙s et al. 2008;http://www.telearchaeology.com/c14/db.aspx, 14.01.2011,;Level 3 from ambit A (pit)
S32;Portugal;40,7667;-7,4705;629088;4513984;Douro/Duero and Mondego basins;Carapito 1;Passage grave;Hv-1783;4590;65;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Ash bag between the stones that form the chamber;"Kunst 1992; Leisner, Ribeiro, 1968";Bueno Ramirez et al 2007;n/a;n/a
S32;Portugal;40,7667;-7,4705;629088;4513984;Douro/Duero and Mondego basins;Carapito 1;Passage grave;GrN-5110;4850;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Socket from slab E. Dating the building moment;Senna-Martinez, Ventura 2008;n/a;Senna-Martinez, Ventura 2008;n/a
S32;Portugal;40,7667;-7,4705;629088;4513984;Douro/Duero and Mondego basins;Carapito 1;Passage grave;OxA-3733;5125;70;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Socket from slab E. Dating the building moment;Senna-Martinez, Ventura 2008;n/a;Senna-Martinez, Ventura 2008;n/a
S32;Portugal;40,7667;-7,4705;629088;4513984;Douro/Duero and Mondego basins;Carapito 1;Passage grave;TO-3336;5120;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Socket from slab E. Dating the building moment;Senna-Martinez, Ventura 2008;Criado Boado, Fabregas Valcarce 1989;Senna-Martinez, Ventura 2008/Criado Boado, Fabregas Valcarce 1989;n/a
S33;Portugal;38,8874;-9,2179;481101;4304303;Tagus and western basins;Carcavelos;Megalithic grave;Beta-225170;4130;40;-19,92;8,14;1;2;n/a;n/a;intcal20;n/a;Human bone;Chamber. Commingled bones;Boaventura 2009;n/a;Boaventura 2009;n/a
S33;Portugal;38,8874;-9,2179;481101;4304303;Tagus and western basins;Carcavelos;Megalithic grave;Beta-208518;4270;40;-20,2;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Chamber. Commingled bones;Boaventura 2009;n/a;Boaventura 2009;n/a
S34;Portugal;38,7735;-9,287;475069;4291681;Tagus and western basins;Carrascal;Dolmen;Beta-228577;4770;40;-19;9,4;12;15;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Chamber;Boaventura 2009/Silva et al 2019;Boaventura 2009;Lozano Medina 2017/Silva et al 2019;n/a
S34;Portugal;38,7735;-9,287;475069;4291681;Tagus and western basins;Carrascal;Dolmen;Beta-225167;4640;40;-20,1;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Chamber;Boaventura 2009/Silva et al 2019;Boaventura 2009;Lozano Medina 2017/Silva et al 2019;n/a
S34;Portugal;38,7735;-9,287;475069;4291681;Tagus and western basins;Carrascal;Dolmen;OxA-35900;4766;30;-19,3;8,8;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Chamber;Silva et al 2019;Silva et al 2019;Silva et al 2019;n/a
S34;Portugal;38,7735;-9,287;475069;4291681;Tagus and western basins;Carrascal;Dolmen;OxA-35901;4752;31;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Chamber;Silva et al 2019;Silva et al 2019;Silva et al 2019;n/a
S35;Spain;41,4977739;2,126926438;1429410;4654217;East;Carrer de Paris;Rock-cut-tomb, artificial cave & hypogeum;UBAR-1061;3890;45;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Carbonell et al 2020;n/a;Carbonell et al 2020;n/a
S35;Spain;41,4977739;2,126926438;1429410;4654217;East;Carrer de Paris;Rock-cut-tomb, artificial cave & hypogeum;UBAR-817;4110;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;Soriano 2016;n/a;Soriano 2016;n/a
S35;Spain;41,4977739;2,126926438;1429410;4654217;East;Carrer de Paris;Rock-cut-tomb, artificial cave & hypogeum;UBAR-860;3870;45;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Soriano 2016;n/a;Soriano 2016;n/a
S36;Portugal;38,8884;-9,0788;493165;4304395;Tagus and western basins;Casal do Penedo;Megalithic grave;Beta-234134;4280;40;-19,89;7,19;1;0;n/a;n/a;intcal20;n/a;Human bone;Chamber;Boaventura 2009;n/a;Boaventura 2009;n/a
S36;Portugal;38,8884;-9,0788;493165;4304395;Tagus and western basins;Casal do Penedo;Megalithic grave;Beta-229585;4280;40;-20,02;8,17;0;2;n/a;n/a;intcal20;n/a;Human bone;Chamber;Boaventura 2009;n/a;Boaventura 2009;n/a
S37;Spain;37,5933;-6,515;719393;4163595;South;Casullo;Dolmen;CNA-345;2890;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Burial chamber;Linares, Garcia Sanjuan 2010;n/a;n/a;n/a
S37;Spain;37,5933;-6,515;719393;4163595;South;Casullo;Dolmen;CNA-346;4410;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Funerary deposit;Linares, Garcia Sanjuan 2010;n/a;n/a;n/a
S38;Spain;42,9395;-8,3958;549295;4754273;North;Catasol 2;Megalithic grave;CSIC-985;5680;35;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;From the tumulus, chamber not excavated;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;Alonso, Bello 1997;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294/Alonso/Bello 1997;n/a
S38;Spain;42,9395;-8,3958;549295;4754273;North;Catasol 2;Megalithic grave;CSIC-984;5470;35;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Surface ancient soil,chamber not excavated;Fabregas Valcarce, Vilaseco Vazquez 2003, 293-294;Filgueiras Rey 1992;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294/Filgueiras Rey 1992;n/a
