"Pass","Start S1","End S1","Start S2","End S2","Start S3","End S3",
8000,-3973.57,-3971.18,-2557.05,-574.667,-1686.26,-1110.21,
8100,-3973.57,-3971.18,-3043.89,-1559.98,-1575.62,-1342,
8200,-4235.06,-3238.59,-4361.29,-118.787,-1692.9,-1167.27,
8300,-4287.7,-3698.5,-4849.55,-1708.36,-1694.9,-1201.35,
8400,-4938.19,-2984.67,-2237,-2063.84,-1645.72,-1359.85,
8500,-4064.44,-3794.14,-2809.12,-2433.32,-1632.67,-1294.12,
8600,-4495.56,-3611.97,-2342.19,-2293.23,-1723.75,-1095.55,
8700,-4522.09,-3665.69,-4418.45,-549.636,-1606.38,-1254.15,
8800,-4325.55,-3612.18,-5874.19,-1331.19,-1606.67,-1284.79,
8900,-4185.19,-3533.35,-2261.15,-1257.67,-1661.45,-1296.29,
9000,-4207.77,-3849.97,-3323.04,-1991.67,-1597.26,-1363.64,
9100,-4320.99,-3868.49,-5756,121.604,-1576.55,-1180.43,
9200,-5365.6,-2541.99,-2593.2,-2173.58,-1624.33,-1322.78,
9300,-4368.15,-3492.85,-2301.97,-2050.95,-1773.71,-1033.87,
9400,-4289.37,-3864.66,-2489.88,-2437.36,-1616.74,-1292.15,
9500,-4172.38,-3795.16,-3047.29,613.899,-1658.27,-1395.15,
9600,-4439.83,-3789.76,-2263.06,-1674.94,-1600.54,-1298.17,
9700,-4623.89,-3585.22,-2450.3,-2119.88,-1592.89,-1223.03,
9800,-4152.65,-3138.46,-5952.63,954.384,-1621.73,-1164.43,
9900,-4024.41,-3658.69,-6455.29,2042.2,-1666.39,-1260.74,
10000,-3966.7,-3692.77,-6518.4,-283.274,-1678.15,-1328.27,
10100,-4505.66,-3137.86,-3449.39,-2027.9,-1645.84,-1237.07,
10200,-4242.46,-3171.33,-2472.85,-868.689,-1693.11,-1161.84,
10300,-4096.63,-3769.63,-2064.91,-1676.96,-1869.93,-691.568,
10400,-6492.04,-3658,-3161.75,-2456.62,-1638.21,-1363.01,
10500,-4292.12,-3409.64,-2268.02,-2220.51,-1695.56,-1292.1,
10600,-4452.15,-3340.19,-2671.63,-1855.23,-1661.1,-1247.13,
10700,-4283.01,-3578.83,-2702.73,-1819.93,-1669.72,-1316.24,
10800,-4301.12,-3569.72,-2311.02,-1018.22,-1845.1,-965.939,
10900,-4278.45,-3868.77,-2472.03,-2301.55,-1952.27,-1380.67,
11000,-4377.09,-3420.46,-5765.9,-418.66,-1619.37,-1185.74,
11100,-4226.21,-3551.83,-2515.71,396.938,-1637.74,-1342.39,
11200,-4187.94,-1383.92,-4227.96,-1059.58,-1690.39,-777.245,
11300,-4098.61,-3392.5,-2713.59,-1296.98,-1889.74,-1215.69,
11400,-4356.35,-3733.91,-2597.79,-2100.42,-1622.72,-1302.33,
11500,-4799.25,-3143.36,-3079.11,-1862.62,-1687.78,-1252.61,
11600,-4346.55,-3604.88,-4800.7,1441.82,-1624.29,-1140.09,
11700,-4246.76,-3846.63,-2946.97,774.403,-1782.73,-1247.29,
11800,-4171.16,-3759.34,-2402.14,-1802.6,-1679.26,-1370.75,
11900,-4344.8,-3884.66,-2822.58,-1629.54,-1571.14,-1238.6,
12000,-4265.01,-3805.79,-2320.23,-2057.56,-1768.22,-1367.71,
12100,-4334.46,-2924.96,-6506.88,-1061.26,-1573.99,-1314.06,
12200,-4751.33,-3724.96,-2808.91,-1878.66,-1636.89,-1316.16,
12300,-5197.9,-3751.69,-3786.7,-2014.43,-1963.56,-1310.32,
12400,-4461.51,-3748.57,-2701.85,-2081.15,-1654.39,-1206.48,
12500,-4330.73,-3852.07,-2480.15,-2077.3,-1679.47,-1350.98,
12600,-4087.61,-3903.64,-3470.76,-1636.99,-1659.71,-1345.57,
12700,-4336.93,-3684.67,-6314.68,-434.285,-1639.47,-1335.71,
12800,-4082.37,-3861.44,-2465.54,-1906.13,-2143.4,-1268.46,
12900,-4474.2,-3483.42,-2746.41,838.337,-1671.18,-1413.04,
13000,-5996.15,-2410.71,-3068.38,-1315.87,-1713.12,-1379.7,
13100,-4064.23,-3988.06,-3027.31,-2118.98,-1569.43,-1293.22,
13200,-4118.55,-3958.31,-6154.33,-618.751,-1563.68,-1372.59,
13300,-4534.71,-3902.06,-5809.26,-734.851,-1602.2,-1135.66,
13400,-4090.48,-3343.58,-5773.92,-1572.06,-1839.33,-1289.57,
13500,-4361.29,-2864.6,-2696.19,-942.808,-1775.18,-1109.72,
13600,-4141.97,-1662.55,-3052.62,80.7731,-1567.23,-1217.54,
13700,-4128.38,-2549.53,-2775.36,-1939.51,-1544.67,-1198.23,
13800,-4140.58,-3694.18,-6179.02,-719.221,-1775.85,-1292.07,
13900,-4027.66,-3863.02,-2690.97,-1845.28,-1582.25,-1307.93,
14000,-4300.99,-3899.16,-2520.88,-1247.02,-1689.23,-1202.04,
14100,-4099.92,-3161.72,-2878.05,-603.835,-1717,-1299.4,
14200,-4191.18,-3689.89,-2777.19,-1655.59,-1672.13,-1356.17,
14300,-4110,-3675.05,-3282.32,-571.124,-1740.68,-1329.86,
14400,-4522.62,-3445.53,-2903.86,-2170.1,-1627.78,-1353.27,
14500,-4699.44,-3748.44,-2398.05,-1673.63,-1646.35,-1360.45,
14600,-4085.76,-3900.64,-2465.27,-2283.85,-1818.4,-1293.35,
14700,-4591.35,-3649.4,-3006.79,-2143.04,-1687.41,-1327.46,
14800,-4275.54,-3186.65,-2536.28,-2397.18,-1769.62,-1397.69,
14900,-4672.67,-3760.09,-2533.29,-13.9996,-1668.73,-1267.55,
15000,-6553.74,-1561.18,-3118.52,-1164.5,-1704.68,-1266.01,
15100,-4220.16,-3887.64,-2683.24,-2244.74,-1645.53,-1259.04,
15200,-4796.22,-3293.04,-5912.74,-237.305,-1621.29,-1325.94,
15300,-4141.15,-3143.39,-2342.33,-1933.97,-1646.89,-1266.01,
15400,-4394.5,-3827.4,-5951.34,1650.91,-1709.31,-1357.71,
15500,-4562.17,-3642.43,-2491.85,-2106.62,-1670.82,-1295.82,
15600,-4084.78,-3839.26,-2857.81,-2034.88,-1639.29,-1356.23,
15700,-4173.41,-3454.21,-3846.97,-2205.91,-1735.17,-1364.98,
15800,-4764.82,-3463.94,-5926.17,197.09,-1571.17,-1400.31,
15900,-4733.69,-3604.39,-5619.33,613.845,-1560.1,-1350.96,
16000,-4090.48,-3577.35,-6466.87,-475.482,-1690.16,-1295.07,
16100,-4326.24,-3024.8,-2219.07,-1677.32,-1588.36,-1233.14,
16200,-4080.38,-3128.51,-4510.92,-1229.34,-1560.6,-1376.73,
16300,-5023.91,-2263.04,-2767.11,-1654.19,-1621.64,-1280.08,
16400,-4288.54,-3807.16,-4667.83,-1405.49,-1652.54,-1287.46,
16500,-4332.02,-3781.43,-5849.31,-1088.41,-1616.18,-1402.54,
16600,-4455.4,-3508.84,-2419.11,-1615.65,-1746.54,-1042.99,
16700,-4599.23,-3735.82,-4474.43,-2079.55,-1716.35,-1261.37,
16800,-4586.51,-2943.29,-3052.39,-298.573,-1596.9,-1139.82,
16900,-3968.73,-3945.44,-2506.44,-1936.19,-1624.57,-1215.78,
17000,-3838.4,-3465.98,-2856.75,-1867.04,-1634.42,-1238.68,
17100,-4310.71,-2515.24,-2856.96,-2187.63,-1676.75,-1287.48,
17200,-4066.24,-3841.01,-3117.35,-2265.44,-1613.91,-1271.7,
17300,-4390.87,-3394.56,-4069.66,-1303.62,-1605.35,-1067,
17400,-4416.12,-3763.96,-2145.29,-1983.29,-1771.72,-1294.67,
17500,-4160.44,-3543.22,-2177.12,-2104.68,-1592.89,-1288.54,
17600,-5001.89,-3791.42,-2344.03,-1989.09,-1738.09,-1313.69,
17700,-4067.69,-3650.22,-2554.14,-1896.73,-1682.51,-1343.78,
17800,-4179.43,-3840.01,-5566.63,709.171,-1617.65,-1339.27,
17900,-4373,-2649.52,-2975.5,-1986.86,-1573.63,-1348.93,
18000,-4467.08,-3531.36,-2531.28,257.97,-1657.87,-1384.08,
18100,-4160.77,-3619.86,-2816.19,-2069.01,-1724.49,-1349.52,
18200,-5060.13,-3575.73,-2402.81,-2200.5,-1725.98,-1166.5,
18300,-4170.94,-3823.25,-3822.62,-2193.63,-1781.59,-1286.41,
18400,-4583.26,-3516.36,-4155.16,-1956.32,-1884.9,-1338.54,
18500,-4014.58,-3726.15,-6038.55,1345.98,-1732.19,-1034.13,
18600,-4425.45,-3075.39,-2502.82,-2393.15,-1630.49,-1338.28,
18700,-4272.66,-3110.39,-3851.12,-1938.23,-1631.83,-1304.36,
18800,-4121.34,-3769.34,-2603.58,-2476.72,-1576.01,-1287.07,
18900,-4225.26,-3821.56,-4242.94,661.357,-1652.78,-1190.51,
19000,-4582.11,-2973.89,-2915.41,-1944.9,-1769.4,-1180.18,
19100,-4339.33,-3780.82,-2300.66,-1252.84,-1823.31,-1375.11,
19200,-4215.98,-3842.71,-3830.05,-891.668,-1781.15,-1214.69,
19300,-4231.84,-3589.35,-5828.93,-1825.5,-1625.62,-1277.68,
19400,-4109.83,-3811.96,-2778.88,-1695.84,-1788.51,-1316.79,
19500,-4421.31,-3502.7,-3945.03,-2419.85,-2042.32,-1276.1,
19600,-4282.69,-3704.47,-5992.9,1964.73,-1568.92,-1389.26,
19700,-4515.94,-3643.23,-2198.96,-2156.1,-1648.2,-1253.26,
19800,-4184.24,-3800.53,-2720.29,-1977.04,-1664.9,-1222.29,
19900,-5004.86,-3376.46,-5165.6,-296.11,-1583.87,-1322.56,
20000,-4291.86,-3496.8,-3374.64,-1736.2,-1549.44,-1267.45,
20100,-4171.35,-3628.21,-6179.02,1196.45,-1729.41,-784.217,
20200,-4357.56,-3522.41,-2962.23,-1902.43,-1650.97,-1375.1,
20300,-4160.75,-3129.77,-2974.53,1998.55,-1633,-1310.96,
20400,-4151.8,-3899.57,-2688.86,-2138.56,-1667.13,-1346.64,
20500,-4224.52,-3701.37,-3247.69,-770.569,-1548.56,-1189.49,
20600,-6293.95,-1614.77,-6270.25,1543.7,-1756.15,-939.73,
20700,-4515.83,-3779.92,-4817.61,-1509.98,-1581.95,-1249.82,
20800,-4019.74,-2491.3,-2719.29,-2213.05,-1595.21,-1273.23,
20900,-4318.74,-3345.69,-5947.08,371.942,-1754.45,-1375.03,
21000,-5585.38,-3566.66,-2210.12,-2190.29,-1842.69,-1325.51,
21100,-4547.96,-3785.89,-2306.95,-1748.77,-1782.07,-1294.82,
21200,-4120.81,-3700.39,-2632.67,-2203.8,-1770.49,-1219.33,
21300,-4357.96,-2072.04,-3313.46,142.243,-1803.62,-980.035,
21400,-4112.77,-3746.39,-3991.83,1769.22,-1610.31,-1238.01,
21500,-4167.45,-3622.4,-3151.64,1207.87,-1749.76,-1127.05,
21600,-4136.31,-3750.87,-2409,-1904.95,-1687.99,-1246.79,
21700,-5628.13,-2721.43,-2661.74,-2357.85,-1669.39,-1302.98,
21800,-4785.62,-1548.68,-3151.91,-1683.27,-1593.91,-1245.15,
21900,-4136.79,-3470.69,-2735.54,-1334.63,-1585.85,-1180.79,
22000,-4122.05,-3828.61,-3845.88,957.064,-1554.15,-1383.29,
22100,-4284.11,-2423.51,-6367.26,-1103.02,-1658.17,-1350.3,
22200,-4247.42,-2569.1,-3016.03,-707.039,-1629.97,-1260.05,
22300,-4279.56,-3506.34,-6585.25,1080.04,-1612.49,-1355.1,
22400,-4102.66,-3542.97,-2929.93,-1586.98,-1816.73,-1307.29,
22500,-4182.21,-3700.66,-2650.09,1184.55,-1683.82,-1281.14,
22600,-4062.35,-3768.62,-2996.71,-2037.35,-1764.74,-1311.49,
22700,-4321.79,-3817.54,-3460.51,-1933.97,-1796.08,-1371.81,
22800,-4125.79,-3731.16,-3887.45,-1649,-1620.97,-1199.42,
22900,-4095.76,-3691.61,-2674.91,-2067.87,-1575.76,-1366.42,
23000,-4242.85,-3050.92,-2679.65,25.9964,-1618.78,-1299.68,
23100,-4430.3,-3642.97,-3359.62,-449.461,-1698.07,-1283.46,
23200,-4062.62,-3210.96,-2222.13,-1886.43,-1725.35,-1273.05,
23300,-5375.51,-3643.31,-2569.54,-2261.32,-1570.42,-1318.74,
23400,-5198.9,-3606.46,-3148.09,-1377.74,-1680.89,-1366.78,
23500,-4134.52,-2652.44,-2217.71,-2012.49,-1873.23,-1176.53,
23600,-4146.84,-3663.48,-3183.38,-1669.42,-1668.59,-1332,
23700,-4761.41,-3528.25,-2711.16,-2658.67,-1747.44,-1182.6,
23800,-4329.31,-3388.83,-3374.36,-2462.3,-1669.29,-1264.04,
23900,-5127.23,-3832.44,-2821.66,-1931.06,-1849.45,-1326.28,
24000,-4603.73,-3761.05,-3997.05,-1784.97,-1770.44,-1239.59,
24100,-4323.13,-3719.48,-2249.11,-1249.1,-1839.63,-1239.62,
24200,-4138.72,-2579.32,-2813.66,-2203.58,-1751.89,-683.998,
24300,-4688.38,-3386.12,-4328.12,-1197.53,-1648.96,-1377.07,
24400,-4399.27,-3690.73,-2722.83,-1556.29,-1783.38,-1234.55,
24500,-4041.88,-3874.56,-2751.56,-2404.15,-1567.17,-1393.68,
24600,-4384.62,-3754.27,-2674.85,-2269.89,-1675.31,-1328.79,
24700,-4365.77,-3693.69,-2553.72,-2149.64,-1635.58,-1313.31,
24800,-4075.09,-3070.54,-3068.39,-1945.3,-1955.99,-1288.14,
24900,-4174.13,-3718.51,-2779.82,-2421.51,-1678.58,-1311.23,
25000,-4187.52,-3760.35,-2633.59,-2082.47,-1991.34,-1365.5,
25100,-4017.79,-3736.1,-2791.31,-1836.63,-1692.7,-1322.73,
25200,-4089.56,-3304.77,-3035.77,-338.026,-1547.41,-1295.21,
25300,-4061.61,-3902.39,-2443.75,-2119.83,-1609.74,-1312.13,
25400,-4078.06,-3787.35,-2365.24,-2019.8,-1630.74,-1346.32,
25500,-4102.95,-3698.69,-2768.37,-2716.39,-1715.18,-1240.3,
25600,-4264.88,-3684.36,-2053.83,-1288.43,-1727.89,-1332.11,
25700,-4214.46,-3788.34,-4033.52,-2003.69,-1780.82,-1346.78,
25800,-4091.98,-3668.08,-2217.94,-973.898,-1620.57,-1368.36,
25900,-4098.95,-3430.59,-4166.63,1713.77,-1785.19,-1388.59,
26000,-4053.56,-3832.75,-2281.02,-2230.06,-1690.66,-1259.27,
26100,-4476.07,-3464.13,-5304.69,1658.63,-1662.02,-1063.64,
26200,-4904.65,-3450.03,-5380.75,-436.914,-1790.87,-1331.87,
26300,-4452.55,-3064.05,-2219.74,-2103.39,-1551.72,-1386.76,
26400,-4358.76,-3790.34,-2769.31,-2013.32,-1893.23,-1270.25,
26500,-4315.45,-3742.33,-3132.89,813.336,-1773.42,-1195.14,
26600,-4263.03,-3347.76,-3134.59,-2213.39,-1740.02,-1294.87,
26700,-4536.18,-3427.58,-2560.94,-1360.68,-1635.66,-1271.33,
26800,-5025.15,-1239.47,-2410.05,-2240.79,-2314.66,-370.846,
26900,-4564.26,-3134.64,-2906.58,-1931.32,-2019.19,-1331.43,
27000,-4007.49,-3837.1,-2438.08,-2220.04,-1624.68,-1387.46,
27100,-4396.41,-3912.92,-2839.04,-1495.8,-1601.58,-1313.8,
27200,-4076.08,-3844.88,-2520.14,552.202,-1624.57,-1321.08,
27300,-4468.87,-3788.82,-2690.13,-1110.55,-1723.03,-1362.58,
27400,-4433.62,-3209.37,-2536.69,-1198.42,-1637.07,-1326.06,
27500,-4445.79,-3620.68,-2805.12,-2326.12,-1739.54,-1260.16,
27600,-4168.74,-3581.04,-3204.25,-2273.82,-1663.84,-1400.01,
27700,-4424.06,-3723.95,-5963.42,-1151.87,-1838.78,-1112.38,
27800,-4560.85,-2293.95,-2121.6,-1976.51,-1684.52,-1366.32,
27900,-4108.05,-3721.89,-2588.3,-1106.55,-1625.02,-1289.68,
28000,-4125.28,-3770.84,-5104.02,-665.445,-1713.26,-1224.02,
28100,-4025.2,-3871.87,-3358.68,-1664.76,-1664.21,-1319.23,
28200,-4293.45,-3689.73,-2953.4,683.512,-1910.53,-1157.4,
28300,-4622.7,-3707.86,-3002.35,1806.07,-1782.86,-1160.9,
28400,-4101.64,-3671.36,-3516.22,-802.584,-1616.99,-1393.1,
28500,-4424.53,-3037.1,-2529.24,-2056.71,-1707.34,-1403.2,
28600,-4132.68,-3849.2,-3186.03,-1378.13,-1594.53,-1370.71,
28700,-4472.89,-3685.36,-2637.88,-732.67,-2420.01,-682.851,
28800,-4150.04,-3010.52,-2587.37,-2222.88,-1778.14,-1168.84,
28900,-4182.7,-3709.14,-2849,-419.777,-1711.54,-1236.64,
29000,-5042.76,-3409.79,-3101.79,-2191.44,-1629.27,-1300.2,
29100,-4997.15,-3011.32,-3896.96,259.731,-1777.93,-1172.98,
29200,-4193.79,-3772.43,-6335.39,-2093.45,-1666.91,-1222.44,
29300,-4535.06,-3829.22,-2400.92,-2201.44,-1573.47,-1300.34,
29400,-4548.29,-3569.94,-2834.66,-2037.45,-1654.71,-1368.13,
29500,-4602.19,-3651.79,-5917.6,-69.6929,-1770.46,-1138.56,
29600,-4085.24,-3939.34,-3547.36,-1199.79,-1608.56,-1361.41,
29700,-4369.5,-3364.79,-2269.21,-2133.38,-1813.01,-1288.23,
29800,-4163.16,-3753.95,-3729.65,-834.783,-1580.23,-1241.24,
29900,-5183.19,-2793.71,-4508.76,-1364.86,-1710.69,-1370.38,
30000,-4638.64,-3636.43,-2321.48,-1928.75,-1813.75,-1262.11,
30100,-4238.33,-3666.5,-2701.39,-2528.18,-1711.33,-1303.26,
30200,-4900.22,-3579.92,-2280.36,-1221.51,-1687.5,-1321.07,
30300,-4095.78,-3747.46,-5868.71,-875.628,-1776.28,-1320.64,
30400,-4088.69,-3790.88,-2270.21,-2226.49,-2070.63,-1318.03,
30500,-4303.11,-3900.68,-2826.25,-2492.57,-1746.26,-1253.84,
30600,-4410.44,-3858.49,-2460.36,-2448.88,-1601.34,-1325.7,
30700,-4417.71,-3782.53,-2014.34,-1636.76,-1572.91,-1398.47,
30800,-4006.82,-3879.31,-2293.21,-2032.71,-1914.96,-1227.64,
30900,-5297.78,-3101.49,-3255.91,-1913.02,-1683.22,-1338.87,
31000,-4479.76,-2409.16,-2255.11,-1564.77,-1687.23,-1313.46,
31100,-4614.76,-3594.01,-2659.25,-1725.43,-1600.16,-1349.97,
31200,-4374.36,-3775.26,-2926.95,-2333.39,-1767.36,-1354.5,
31300,-6522.34,-1687.68,-2414.75,-1674.48,-1786.22,-1377.63,
31400,-5028.8,-3541.45,-5798.68,33.8765,-1636.43,-1034.54,
31500,-4545.54,-3472.03,-1980.84,-1796.53,-1668.58,-1284.49,
31600,-4241.39,-3461,-1762.63,-1735.46,-1703.21,-1254.39,
31700,-4157.27,-3731.06,-3090.82,-476.665,-1686.54,-1215.7,
31800,-4121.06,-3946.23,-2783.44,-1764.71,-1624.84,-1345.31,
31900,-4276.84,-3884.78,-2457.86,-1398.02,-1571.15,-1288.86,
32000,-4144.7,-3913.53,-3662.69,-552.91,-1679.18,-1286.75,
32100,-4134.73,-3718.35,-2405.19,-1998.93,-2190.84,-1217.67,
32200,-4795.62,-3717.79,-2671.53,-2029.54,-1585.96,-1244.06,
32300,-3844.83,-3566.93,-3345.82,-454.621,-1661.88,-1265.02,
32400,-4120.17,-3609.11,-3381.3,-1618.04,-1709.21,-1308.78,
32500,-3984.47,-3659.09,-2398.98,-2053.87,-1791.49,-1228.97,
32600,-4099.14,-3705.14,-2351.77,-1956.37,-2436.43,-638.818,
32700,-4700.14,-2803.62,-2528.05,-2131.5,-1727.72,-1364.95,
32800,-4265.33,-3788.23,-2934.25,-2681.22,-1714.64,-1353.83,
32900,-4189.69,-3851.15,-3330.76,-1117.96,-1555.93,-1308.05,
33000,-4187.18,-3807.16,-2720.93,-2147.13,-1632.44,-1397.57,
33100,-4210.81,-3879.1,-4482.44,-235.474,-1760.08,-1296.37,
33200,-4184.27,-3805.35,-2922.28,-1237.04,-1605.23,-1307.24,
33300,-4354.46,-3812.87,-2482.11,-1931.52,-1577.76,-1252.93,
33400,-4263.07,-3786.52,-2316.58,-1832.02,-1710.89,-1376.52,
33500,-4174.32,-3542.36,-2386.55,-1689.1,-1734.33,-1253.86,
33600,-4107.69,-3687.01,-2280.88,-2149.3,-1609.05,-1342.6,
33700,-4367.51,-3759.57,-5684.1,1305.72,-1807.26,-1349.99,
33800,-4092.63,-3485.12,-3163.82,-2283.1,-1586.47,-1380.4,
33900,-4337.34,-3895.94,-3034.09,-2066.65,-1620.95,-1302.28,
34000,-4025.74,-3940.24,-2823.72,-951.642,-1662.98,-1374.23,
34100,-4225.66,-3864.25,-2248.64,-1292.91,-1702.11,-1298.36,
34200,-4257.89,-3736.43,-2061.51,-1972.47,-1678.65,-1413.24,
34300,-4241.35,-3880.85,-3483.08,1599.6,-1594.1,-1335.4,
34400,-4155.57,-3491.79,-4068.51,-638.916,-1618.38,-1396.6,
34500,-4066.7,-3571.71,-2232.75,-2124.33,-1640.16,-1095.12,
34600,-4115.72,-3687.93,-2510.73,-2367.08,-1659.76,-1212.99,
34700,-6042.15,-1507.73,-2293.24,-1673.03,-1775.56,-1069.71,
34800,-4327.62,-3423.37,-4606.3,-1405.78,-1682.08,-1282.47,
34900,-4210.75,-3276.54,-3573.44,-1043.67,-1658.35,-1292.47,
35000,-4202.67,-3714.9,-2792.56,-86.6296,-1709.18,-502.132,
35100,-5157.79,-3434.52,-5323.38,64.366,-1645.19,-1350.36,
